iter	Passed	Remaining
761	17798	5559
762	17823	5536
763	17844	5512
764	17867	5488
765	17887	5464
766	17909	5440
767	17948	5421
768	17965	5396
769	17987	5372
770	18010	5349
771	18042	5328
772	18076	5308
773	18102	5285
774	18122	5261
775	18151	5239
776	18175	5216
777	18193	5191
778	18221	5169
779	18239	5144
780	18264	5121
781	18294	5099
782	18313	5075
783	18333	5051
784	18360	5028
785	18380	5004
786	18407	4981
787	18431	4958
788	18451	4934
789	18475	4911
790	18495	4886
791	18513	4862
792	18534	4838
793	18560	4815
794	18579	4790
795	18600	4766
796	18625	4743
797	18646	4719
798	18668	4696
799	18688	4672
800	18712	4649
801	18731	4624
802	18753	4600
803	18773	4576
804	18795	4553
805	18818	4529
806	18840	4505
807	18862	4482
808	18885	4458
809	18907	4435
810	18928	4411
811	18948	4387
812	18972	4363
813	18993	4340
814	19021	4317
815	19044	4294
816	19065	4270
817	19085	4246
818	19107	4222
819	19128	4198
820	19150	4175
821	19171	4151
822	19191	4127
823	19213	4103
824	19235	4080
825	19257	4056
826	19279	4032
827	19304	4010
828	19326	3986
829	19348	3963
830	19386	3942
831	19403	3918
832	19426	3894
833	19445	3870
834	19475	3848
835	19495	3824
836	19520	3801
837	19541	3777
838	19578	3756
839	19596	3732
840	19618	3709
841	19646	3686
842	19665	3662
843	19688	3639
844	19716	3616
845	19741	3593
846	19772	3571
847	19791	3547
848	19812	3523
849	19848	3502
850	19868	3478
851	19891	3455
852	19916	3432
853	19941	3409
854	19963	3385
855	19984	3361
856	20007	3338
857	20027	3314
858	20051	3291
859	20072	3267
860	20093	3243
861	20116	3220
862	20139	3197
863	20159	3173
864	20184	3150
865	20202	3126
866	20227	3102
867	20244	3078
868	20267	3055
869	20291	3032
870	20314	3008
871	20340	2985
872	20358	2961
873	20382	2938
874	20400	2914
875	20421	2890
876	20443	2867
877	20462	2843
878	20489	2820
879	20508	2796
880	20529	2772
881	20549	2749
882	20569	2725
883	20590	2701
884	20610	2678
885	20632	2654
886	20655	2631
887	20679	2608
888	20700	2584
889	20722	2561
890	20751	2538
891	20769	2514
892	20802	2492
893	20827	2469
894	20847	2445
895	20878	2423
896	20897	2399
897	20920	2376
898	20941	2352
899	20964	2329
900	20986	2305
901	21024	2284
902	21043	2260
903	21065	2237
904	21086	2213
905	21112	2190
906	21141	2167
907	21164	2144
908	21194	2121
909	21216	2098
910	21240	2075
911	21263	2051
912	21287	2028
913	21311	2005
914	21333	1981
915	21352	1958
916	21373	1934
917	21398	1911
918	21417	1887
919	21441	1864
920	21464	1841
921	21491	1818
922	21509	1794
923	21535	1771
924	21554	1747
925	21580	1724
926	21600	1700
927	21622	1677
928	21643	1654
929	21667	1630
930	21687	1607
931	21713	1584
932	21734	1560
933	21754	1537
934	21778	1514
935	21796	1490
936	21825	1467
937	21843	1443
938	21868	1420
939	21885	1396
940	21912	1373
941	21932	1350
942	21952	1326
943	21972	1303
944	21995	1280
945	22023	1257
946	22044	1233
947	22064	1210
948	22088	1187
949	22105	1163
950	22135	1140
951	22161	1117
952	22188	1094
953	22209	1070
954	22236	1047
955	22254	1024
956	22288	1001
957	22312	978
958	22345	955
959	22369	932
960	22387	908
961	22416	885
962	22439	862
963	22463	838
964	22488	815
965	22517	792
966	22538	769
967	22560	745
968	22590	722
969	22612	699
970	22636	676
971	22663	652
972	22682	629
973	22711	606
974	22734	582
975	22758	559
976	22778	536
977	22796	512
978	22816	489
979	22844	466
980	22865	442
981	22887	419
982	22909	396
983	22928	372
984	22948	349
985	22970	326
986	22994	302
987	23016	279
988	23041	256
989	23066	232
990	23089	209
991	23109	186
992	23134	163
993	23153	139
994	23174	116
995	23195	93
996	23215	69
997	23237	46
998	23257	23
999	23278	0
